file_name,cik,date,report_type,accession_num,file_suffix
0000001750_2019-02-28_10-Q_0001104659-19-016320.html,0000001750,2019-02-28,10-Q,0001104659-19-016320,html
0000001750_2019-05-31_10-K_0001047469-19-004266.html,0000001750,2019-05-31,10-K,0001047469-19-004266,html
0000001750_2019-08-31_10-Q_0001410578-19-001436.html,0000001750,2019-08-31,10-Q,0001410578-19-001436,html
0000001750_2019-11-30_10-Q_0001104659-19-074491.html,0000001750,2019-11-30,10-Q,0001104659-19-074491,html
0000001750_2020-02-29_10-Q_0001104659-20-037857.html,0000001750,2020-02-29,10-Q,0001104659-20-037857,html
0000001750_2020-08-31_10-Q_0001104659-20-108360.html,0000001750,2020-08-31,10-Q,0001104659-20-108360,html
0000001750_2020-11-30_10-Q_0001104659-20-137498.html,0000001750,2020-11-30,10-Q,0001104659-20-137498,html
0000001800_2018-12-31_10-K_0001047469-19-000624.html,0000001800,2018-12-31,10-K,0001047469-19-000624,html
0000001800_2019-03-31_10-Q_0001104659-19-026018.html,0000001800,2019-03-31,10-Q,0001104659-19-026018,html
0000001800_2019-06-30_10-Q_0001410578-19-000606.html,0000001800,2019-06-30,10-Q,0001410578-19-000606,html
0000001800_2019-09-30_10-Q_0001104659-19-058323.html,0000001800,2019-09-30,10-Q,0001104659-19-058323,html
0000001800_2019-12-31_10-K_0001104659-20-023904.html,0000001800,2019-12-31,10-K,0001104659-20-023904,html
0000001800_2020-03-31_10-Q_0001104659-20-053384.html,0000001800,2020-03-31,10-Q,0001104659-20-053384,html
0000001800_2020-06-30_10-Q_0001104659-20-087850.html,0000001800,2020-06-30,10-Q,0001104659-20-087850,html
0000001800_2020-09-30_10-Q_0001104659-20-121336.html,0000001800,2020-09-30,10-Q,0001104659-20-121336,html
0000002488_2018-12-29_10-K_0000002488-19-000011.html,0000002488,2018-12-29,10-K,0000002488-19-000011,html
0000002488_2019-03-30_10-Q_0000002488-19-000045.html,0000002488,2019-03-30,10-Q,0000002488-19-000045,html
0000002488_2019-06-29_10-Q_0000002488-19-000104.html,0000002488,2019-06-29,10-Q,0000002488-19-000104,html
0000002488_2019-09-28_10-Q_0000002488-19-000159.html,0000002488,2019-09-28,10-Q,0000002488-19-000159,html
0000002488_2019-12-28_10-K_0000002488-20-000008.html,0000002488,2019-12-28,10-K,0000002488-20-000008,html
0000002488_2020-03-28_10-Q_0000002488-20-000051.html,0000002488,2020-03-28,10-Q,0000002488-20-000051,html
0000002488_2020-06-27_10-Q_0000002488-20-000103.html,0000002488,2020-06-27,10-Q,0000002488-20-000103,html
0000002488_2020-09-26_10-Q_0000002488-20-000164.html,0000002488,2020-09-26,10-Q,0000002488-20-000164,html
0000002969_2018-12-31_10-Q_0000002969-19-000014.html,0000002969,2018-12-31,10-Q,0000002969-19-000014,html
0000002969_2019-03-31_10-Q_0000002969-19-000029.html,0000002969,2019-03-31,10-Q,0000002969-19-000029,html
0000002969_2019-06-30_10-Q_0000002969-19-000042.html,0000002969,2019-06-30,10-Q,0000002969-19-000042,html
0000002969_2019-09-30_10-K_0000002969-19-000051.html,0000002969,2019-09-30,10-K,0000002969-19-000051,html
0000002969_2019-12-31_10-Q_0000002969-20-000010.html,0000002969,2019-12-31,10-Q,0000002969-20-000010,html
0000002969_2020-03-31_10-Q_0000002969-20-000019.html,0000002969,2020-03-31,10-Q,0000002969-20-000019,html
0000002969_2020-06-30_10-Q_0000002969-20-000035.html,0000002969,2020-06-30,10-Q,0000002969-20-000035,html
0000002969_2020-09-30_10-K_0000002969-20-000049.html,0000002969,2020-09-30,10-K,0000002969-20-000049,html
0000003146_2019-06-30_10-Q_0001564590-19-026773.html,0000003146,2019-06-30,10-Q,0001564590-19-026773,html
0000003146_2019-09-30_10-K_0001564590-19-044464.html,0000003146,2019-09-30,10-K,0001564590-19-044464,html
0000003146_2019-12-31_10-Q_0001564590-20-003381.html,0000003146,2019-12-31,10-Q,0001564590-20-003381,html
0000003146_2020-03-31_10-Q_0001564590-20-023293.html,0000003146,2020-03-31,10-Q,0001564590-20-023293,html
0000003146_2020-06-30_10-Q_0001564590-20-036689.html,0000003146,2020-06-30,10-Q,0001564590-20-036689,html
0000003146_2020-09-30_10-K_0001564590-20-054448.html,0000003146,2020-09-30,10-K,0001564590-20-054448,html
0000006201_2018-12-31_10-K_0000006201-19-000009.html,0000006201,2018-12-31,10-K,0000006201-19-000009,html
0000006201_2019-03-31_10-Q_0000006201-19-000023.html,0000006201,2019-03-31,10-Q,0000006201-19-000023,html
0000006201_2019-06-30_10-Q_0000006201-19-000053.html,0000006201,2019-06-30,10-Q,0000006201-19-000053,html
0000006201_2019-09-30_10-Q_0000006201-19-000067.html,0000006201,2019-09-30,10-Q,0000006201-19-000067,html
0000006201_2019-12-31_10-K_0000006201-20-000023.html,0000006201,2019-12-31,10-K,0000006201-20-000023,html
0000006201_2020-03-31_10-Q_0000006201-20-000066.html,0000006201,2020-03-31,10-Q,0000006201-20-000066,html
0000006201_2020-06-30_10-Q_0000006201-20-000089.html,0000006201,2020-06-30,10-Q,0000006201-20-000089,html
0000006201_2020-09-30_10-Q_0000006201-20-000101.html,0000006201,2020-09-30,10-Q,0000006201-20-000101,html
0000764622_2018-12-31_10-K_0000764622-19-000019.html,0000764622,2018-12-31,10-K,0000764622-19-000019,html
0000764622_2019-03-31_10-Q_0000764622-19-000046.html,0000764622,2019-03-31,10-Q,0000764622-19-000046,html
0000764622_2019-06-30_10-Q_0000764622-19-000073.html,0000764622,2019-06-30,10-Q,0000764622-19-000073,html
0000764622_2019-09-30_10-Q_0000764622-19-000096.html,0000764622,2019-09-30,10-Q,0000764622-19-000096,html
0000764622_2019-12-31_10-K_0000764622-20-000017.html,0000764622,2019-12-31,10-K,0000764622-20-000017,html
0000764622_2020-03-31_10-Q_0000764622-20-000038.html,0000764622,2020-03-31,10-Q,0000764622-20-000038,html
0000764622_2020-06-30_10-Q_0000764622-20-000060.html,0000764622,2020-06-30,10-Q,0000764622-20-000060,html
0000764622_2020-09-30_10-Q_0000764622-20-000077.html,0000764622,2020-09-30,10-Q,0000764622-20-000077,html
